FLIGHTID,P_AIRCRAFTTYPE,R_ACODE,S_DEPTIME,S_ARRTIME,P_DEPTIME,P_ARRTIME,R_DEPAP,R_DEPTIME,entry_timestamp,entry_lon,entry_lat,entry_height,entry_time_gap,Time_of_Entry,cluster_closed
CCA1842,A20N,1064.0,202508020855,202508021040,202508020855,202508021020,ZSYA,202508020909.0,2025-08-02 10:12:00,116.455375,38.684477,509.0,60.0,29.0,0.0
CCA1844,A321,2113.0,202508021615,202508021815,202508021720,202508021850,ZSOF,202508021722.0,2025-08-02 18:32:00,116.499528,38.706514,539.0,60.0,21.0,0.0
CCA1846,B38M,2115.0,202508020920,202508021110,202508020920,202508021050,ZSOF,202508020920.0,2025-08-02 10:26:00,116.388611,38.677049,539.0,61.0,22.0,3.0
CCA1848,A321,1054.0,202508021350,202508021540,202508021350,202508021523,ZSNJ,202508021405.0,2025-08-02 15:13:00,116.465556,38.689588,509.0,60.0,29.0,0.0
CCA1852,A20N,1045.0,202508021010,202508021240,202508021010,202508021214,ZSLQ,202508021019.0,2025-08-02 12:05:00,116.487278,38.700185,539.0,60.0,32.0,0.0
CCA1854,A21N,7020.0,202508021005,202508021215,202508021005,202508021204,ZSNB,202508021015.0,2025-08-02 11:55:00,116.416407,38.665082,539.0,61.0,30.0,0.0
CCA186,A333,2635.0,202508021300,202508021615,202508021300,202508021548,RCTP,202508021317.0,2025-08-02 15:34:00,116.423852,38.666889,539.0,60.0,24.0,0.0
CCA1868,A20N,2772.0,202508021455,202508021640,202508021455,202508021609,ZSFY,202508021458.0,2025-08-02 15:59:00,115.838481,38.692796,509.0,60.0,21.0,3.0
CCA1880,A319,1770.0,202508020940,202508021140,202508021135,202508021331,ZSYW,202508021230.0,2025-08-02 13:56:00,116.434267,38.675232,509.98,61.0,27.0,0.0
CCA1884,A332,6332.0,202508021725,202508021930,202508021725,202508021913,ZSPD,202508021840.0,2025-08-02 20:07:00,116.453056,38.683611,539.0,56.0,29.0,0.0
CCA1888,B737,2104.0,202508022025,202508022255,202508022025,202508022216,ZSJD,202508022126.0,2025-08-02 22:55:00,116.453056,38.706389,539.0,60.0,26.0,0.0
CCA1892,B737,1002.0,202508022015,202508022300,202508022145,202508022352,ZSJU,202508022159.0,2025-08-02 23:34:00,116.462736,38.687111,539.0,60.0,24.0,0.0
CCA1896,A320,2752.0,202508021035,202508021240,202508021035,202508021231,ZSSR,202508021037.0,2025-08-02 12:11:00,116.497037,38.704889,509.0,60.0,28.0,0.0
CCA1898,B738,1067.0,202508021640,202508021825,202508021640,202508021802,ZSLG,202508021636.0,2025-08-02 17:29:00,116.408525,38.658884,509.0,61.0,31.0,0.0
CCA190,A321,2633.0,202508021840,202508022215,202508021841,202508022131,RCTP,202508021855.0,2025-08-02 21:13:00,116.479048,38.696594,539.0,61.0,29.0,0.0
CCA1900,B738,6312.0,202508021045,202508021255,202508021045,202508021224,ZSNT,202508021100.0,2025-08-02 12:17:00,116.433825,38.671134,509.0,61.0,29.0,0.0
CCA1902,B77W,7425.0,202508021445,202508021900,202508021445,202508021742,ZWWW,202508021504.0,2025-08-02 17:54:00,116.653826,40.629005,284.81,62.0,17.0,2.0
CCA1908,B738,3145.0,202508020735,202508021040,202508020735,202508021018,ZGSD,202508020729.0,2025-08-02 10:01:00,115.805455,38.659995,539.0,61.0,23.0,3.0
CCA1912,B738,3174.0,202508021215,202508021600,202508021215,202508021518,ZGBH,202508021205.0,2025-08-02 14:48:00,115.862991,38.716556,509.0,60.0,20.0,3.0
CCA1914,A321,6270.0,202508021605,202508021745,202508021605,202508021713,ZHCC,202508021611.0,2025-08-02 17:00:00,115.863273,38.717111,509.0,60.0,20.0,3.0
CCA1916,A320,7474.0,202508020905,202508021040,202508020905,202508021012,ZHCC,202508020908.0,2025-08-02 09:57:00,115.868639,38.721653,509.0,60.0,20.0,3.0
CCA1924,A320,343.0,202508021150,202508021355,202508021150,202508021339,ZHSY,202508021153.0,2025-08-02 13:06:00,115.807542,38.663944,509.0,60.0,23.0,3.0
CCA1930,A20N,337.0,202508022045,202508022255,202508030000,202508030146,ZHYC,202508022358.0,2025-08-03 01:25:00,115.85387,38.707241,510.4,60.0,23.0,3.0
CCA1932,B738,2451.0,202508020800,202508021125,202508020800,202508021056,ZGNN,202508020815.0,2025-08-02 10:52:00,115.830005,38.685144,539.98,60.0,22.0,3.0
CCA1934,A20N,2456.0,202508022015,202508022325,202508022140,202508030036,ZGNN,202508022159.0,2025-08-03 00:42:00,115.861944,38.716111,539.0,56.0,23.0,3.0
CCA1936,B738,2446.0,202508021620,202508021950,202508021620,202508021917,ZGNN,202508021621.0,2025-08-02 19:00:00,115.833296,38.688519,479.0,60.0,22.0,3.0
CCA1938,B738,2401.0,202508021905,202508022155,202508021954,202508022228,ZGKL,202508022010.0,2025-08-02 22:26:00,115.858889,38.713889,509.0,56.0,25.0,3.0
CCA1940,A333,2401.0,202508021055,202508021355,202508021055,202508021323,ZGKL,202508021117.0,2025-08-02 13:29:00,115.835278,38.691389,509.0,60.0,21.0,3.0
CCA1958,A20N,4250.0,202508021115,202508021425,202508021115,202508021349,ZGHZ,202508021127.0,2025-08-02 13:53:00,115.807056,38.662296,509.0,60.0,23.0,3.0
CCA4101,A21N,1524.0,202508020900,202508021140,202508020900,202508021114,ZUUU,202508020912.0,2025-08-02 11:04:00,115.830259,38.691648,539.93,60.0,22.0,3.0
CCA4103,A319,1515.0,202508021430,202508021715,202508021430,202508021645,ZUUU,202508021429.0,2025-08-02 16:19:00,115.82319,38.682328,509.0,58.0,23.0,3.0
CCA4105,A333,1533.0,202508021600,202508021915,202508021600,202508021816,ZUUU,202508021602.0,2025-08-02 17:55:00,115.821685,38.678315,539.0,60.0,24.0,3.0
CCA4107,A333,1504.0,202508021000,202508021240,202508021000,202508021215,ZUUU,202508021029.0,2025-08-02 12:18:00,115.86425,38.719611,539.0,60.0,23.0,3.0
CCA4109,A332,7440.0,202508021500,202508021815,202508021500,202508021716,ZUUU,202508021506.0,2025-08-02 16:54:00,115.844722,38.7,539.0,60.0,20.0,3.0
CCA4113,A333,1535.0,202508020800,202508021040,202508020800,202508021015,ZUUU,202508020809.0,2025-08-02 10:00:00,115.846944,38.7025,509.0,60.0,22.0,3.0
CCA4115,A21N,7440.0,202508021100,202508021345,202508021100,202508021314,ZUUU,202508021111.0,2025-08-02 13:02:00,115.819213,38.680176,539.0,60.0,22.0,3.0
CCA4117,A332,7451.0,202508021700,202508022030,202508021700,202508021916,ZUUU,202508021707.0,2025-08-02 19:01:00,116.405528,38.69061,509.0,61.0,24.0,0.0
CCA4119,A333,1505.0,202508020700,202508020940,202508020700,202508020915,ZUUU,202508020724.0,2025-08-02 09:15:00,115.819479,38.677865,539.0,57.0,22.0,3.0
CCA4122,A319,7050.0,202508021815,202508022115,202508021815,202508022023,ZUJZ,202508021811.0,2025-08-02 20:10:00,115.813111,38.671319,539.0,60.0,25.0,3.0
CCA4126,A332,1573.0,202508021315,202508021715,202508021315,202508021645,ZULS,202508021319.0,2025-08-02 16:39:00,116.325833,40.424722,367.0,60.0,22.0,2.0
CCA4128,A319,2376.0,202508020935,202508021325,202508020935,202508021302,ZUNZ,202508020928.0,2025-08-02 12:31:00,115.547709,40.338292,360.0,61.0,27.0,1.0
CCA4131,B738,7414.0,202508020800,202508021025,202508020800,202508021008,ZUCK,202508020807.0,2025-08-02 09:58:00,115.818056,38.673611,539.0,57.0,21.0,3.0
CCA4135,B738,6442.0,202508021130,202508021400,202508021130,202508021337,ZUCK,202508021138.0,2025-08-02 13:27:00,115.846512,38.700542,539.0,61.0,20.0,3.0
CCA4137,B738,5372.0,202508020900,202508021125,202508020900,202508021108,ZUCK,202508020909.0,2025-08-02 10:56:00,115.817887,38.670542,509.0,61.0,22.0,3.0
CCA4141,B737,5365.0,202508021355,202508021630,202508021355,202508021603,ZUCK,202508021410.0,2025-08-02 15:57:00,115.857704,38.710148,539.0,60.0,20.0,3.0
CCA4143,B737,7410.0,202508021450,202508021730,202508021450,202508021659,ZUCK,202508021501.0,2025-08-02 16:51:00,115.877028,38.729306,509.0,60.0,20.0,3.0
CCA4147,B38M,5354.0,202508021730,202508022015,202508021730,202508021937,ZUCK,202508021824.0,2025-08-02 20:17:00,115.886389,38.738611,509.0,60.0,22.0,3.0
CCA4161,A20N,1560.0,202508020655,202508020950,202508020655,202508020924,ZUGY,202508020701.0,2025-08-02 09:12:00,115.81933,38.673295,509.0,58.0,21.0,3.0
CCA4163,A20N,5375.0,202508020900,202508021150,202508020900,202508021129,ZUGY,202508020900.0,2025-08-02 11:11:00,115.848931,38.703028,508.0,60.0,23.0,3.0
CCA4165,A20N,1561.0,202508021650,202508022000,202508021650,202508021920,ZUGY,202508021707.0,2025-08-02 19:18:00,115.864241,38.717296,509.0,60.0,22.0,3.0
CCA4171,A20N,3527.0,202508020700,202508021035,202508020700,202508021021,ZPPP,202508020707.0,2025-08-02 10:15:00,116.402778,40.423889,360.0,56.0,20.0,2.0
CCA4173,A20N,3514.0,202508021705,202508022055,202508021705,202508022028,ZPPP,202508021714.0,2025-08-02 19:54:00,115.869167,38.698889,509.0,56.0,34.0,0.0
CCA4181,A21N,1513.0,202508021800,202508022100,202508021800,202508022015,ZUUU,202508021806.0,2025-08-02 19:59:00,115.844097,38.700347,509.0,60.0,24.0,3.0
CCA4183,A21N,7440.0,202508021900,202508022140,202508021955,202508022211,ZUUU,202508022006.0,2025-08-02 22:02:00,115.852472,38.688764,539.0,60.0,73.0,0.0
CCA4185,A20N,1532.0,202508022000,202508022225,202508022110,202508022326,ZUUU,202508022129.0,2025-08-02 23:22:00,115.848458,38.706528,539.0,60.0,30.0,3.0
CCA422,A321,,202508022010,202508030005,202508022010,202508022316,RJTT,202508022031.0,2025-08-02 23:14:00,117.923556,38.628472,539.0,61.0,31.0,4.0
CCA570,A359,,202508020420,202508021255,202508020420,202508021202,ESSA,202508020435.0,2025-08-02 12:03:00,115.789722,40.430278,421.0,57.0,27.0,1.0
CCA618,A333,5142.0,202508020240,202508021155,202508020240,202508021132,LOWW,202508020258.0,2025-08-02 11:38:00,115.874917,40.427144,415.1,60.0,26.0,1.0
CCA624,B77W,,202508021855,202508030455,202508021855,202508030438,LIRF,202508022008.0,2025-08-03 05:38:00,116.483333,40.380556,360.0,60.0,14.0,2.0
CCA626,A333,5151.0,202508021945,202508030500,202508021935,202508030417,LTFM,202508021949.0,2025-08-03 03:58:00,115.645139,40.430903,421.0,64.0,22.0,1.0
CCA632,A333,,202508020345,202508021350,202508020345,202508021323,EGKK,202508020407.0,2025-08-02 13:38:00,117.021248,40.724895,360.0,61.0,21.0,2.0
CCA710,A321,4135.0,202508020940,202508021140,202508020940,202508021112,RKSI,202508020958.0,2025-08-02 11:00:00,117.999964,38.601644,528.51,61.0,31.0,4.0
CCA712,B738,4363.0,202508022105,202508022325,202508022105,202508022310,RKPC,202508022121.0,2025-08-02 22:59:00,116.427528,38.646574,508.98,60.0,27.0,0.0
CCA724,B38M,433.0,202508021830,202508022035,202508021830,202508022012,ZMCK,202508021828.0,2025-08-02 19:54:00,116.342577,40.424572,377.03,61.0,22.0,2.0
CCA738,A332,,202508021930,202508030430,202508021930,202508030336,EPWA,202508021954.0,2025-08-03 03:39:00,115.593563,40.431832,421.0,64.0,23.0,1.0
CCA742,A21N,7030.0,202508021425,202508021755,202508021425,202508021730,VVNB,202508021435.0,2025-08-02 17:25:00,115.838542,38.69381,509.0,60.0,21.0,3.0
CCA760,B738,,202508021315,202508021635,202508021315,202508021605,RJGG,202508021321.0,2025-08-02 15:42:00,117.915926,38.630759,509.0,60.0,29.0,4.0
CCA784,B789,221.0,202508021530,202508030530,202508021530,202508030400,NZAA,202508021551.0,2025-08-03 03:51:00,117.324991,38.664954,539.0,60.0,20.0,4.0
CCA792,B38M,4031.0,202508020930,202508021140,202508020930,202508021119,ZLXY,202508021116.0,2025-08-02 12:43:00,115.518194,40.214069,360.0,60.0,28.0,1.0
CCA800,B38M,3410.0,202508020105,202508020555,202508020105,202508020518,UAAA,202508020223.0,2025-08-02 06:36:00,116.424528,40.423634,360.03,60.0,17.0,2.0
CCA812,B738,,202508021610,202508021850,202508021740,202508021954,UHWW,202508021742.0,2025-08-02 19:35:00,116.9975,40.70013,347.87,60.0,23.0,2.0
CCA818,B748,,202508021100,202508030355,202508021100,202508030217,KIAD,202508021119.0,2025-08-03 02:23:00,117.985745,38.60709,539.0,63.0,44.0,4.0
CCA8201,B737,4237.0,202508020800,202508021010,202508020800,202508020937,ZHHH,202508020815.0,2025-08-02 09:31:00,115.854076,38.70821,509.0,61.0,22.0,3.0
CCA8203,A320,4233.0,202508020950,202508021155,202508020950,202508021123,ZHHH,202508020945.0,2025-08-02 10:58:00,115.814824,38.670852,539.0,60.0,22.0,3.0
CCA8205,A321,6240.0,202508021200,202508021355,202508021200,202508021334,ZHHH,202508021202.0,2025-08-02 13:19:00,115.820093,38.674731,509.0,60.0,24.0,3.0
CCA8207,C919,4232.0,202508021330,202508021600,202508021330,202508021508,ZHHH,202508021341.0,2025-08-02 14:55:00,115.871457,38.687067,509.0,61.0,28.0,0.0
CCA8209,A320,4233.0,202508021550,202508021800,202508021550,202508021724,ZHHH,202508021548.0,2025-08-02 17:04:00,115.831184,38.685096,509.0,61.0,21.0,3.0
CCA8211,A321,6240.0,202508021820,202508022020,202508021820,202508021955,ZHHH,202508021831.0,2025-08-02 19:47:00,115.881741,38.734185,479.0,60.0,25.0,3.0
CCA8213,A321,4237.0,202508021955,202508022200,202508021955,202508022131,ZHHH,202508022002.0,2025-08-02 21:18:00,115.919372,38.726084,512.25,61.0,22.0,3.0
CCA822,B38M,776.0,202508022025,202508030220,202508022025,202508030140,VTSP,202508022029.0,2025-08-03 01:29:00,115.845597,38.700082,539.0,61.0,24.0,3.0
CCA8223,A320,4065.0,202508021000,202508021140,202508021000,202508021126,ZBLF,202508021010.0,2025-08-02 11:20:00,116.408056,40.423889,360.0,56.0,21.0,2.0
CCA832,B738,,202508021700,202508022055,202508021700,202508022009,ROAH,202508021702.0,2025-08-02 19:42:00,117.989463,38.629759,539.0,60.0,29.0,4.0
CCA842,A359,5153.0,202508021930,202508030450,202508021930,202508030352,LOWW,202508021957.0,2025-08-03 04:00:00,115.646823,40.430573,519.31,64.0,22.0,1.0
CCA846,A359,,202508021810,202508030535,202508021810,202508030410,LEBL,202508021837.0,2025-08-03 04:12:00,115.566259,40.430486,451.02,60.0,23.0,1.0
CCA852,A359,,202508021935,202508030550,202508021935,202508030445,EGKK,202508022000.0,2025-08-03 04:47:00,115.643889,40.431111,451.0,60.0,21.0,1.0
CCA856,B77W,,202508020540,202508021525,202508020540,202508021507,EGLL,202508020544.0,2025-08-02 14:52:00,116.3925,40.423889,360.0,60.0,22.0,2.0
CCA862,A359,,202508021920,202508030500,202508021920,202508030425,LSGG,202508021931.0,2025-08-03 04:20:00,115.593741,40.429824,451.02,60.0,24.0,1.0
CCA864,A333,,202508021915,202508030520,202508021915,202508030418,LGAV,202508021950.0,2025-08-03 04:36:00,116.388333,40.424167,360.0,60.0,18.0,2.0
CCA868,A359,3152.0,202508020755,202508021055,202508020755,202508021033,ZGSZ,202508020853.0,2025-08-02 11:06:00,115.844926,38.699546,509.0,60.0,22.0,3.0
CCA872,B38M,2134.0,202508020010,202508020635,202508020130,202508020720,WMKK,202508020142.0,2025-08-02 07:24:00,115.814852,38.665537,539.93,60.0,21.0,3.0
CCA876,A359,,202508021830,202508030445,202508021830,202508030335,LFPG,202508021906.0,2025-08-03 04:04:00,115.681357,40.429868,421.0,61.0,21.0,1.0
CCA878,A359,,202508020105,202508020955,202508020105,202508020919,EKCH,202508020113.0,2025-08-02 09:09:00,115.822222,40.427778,398.0,60.0,26.0,1.0
CCA898,B789,,202508020840,202508021930,202508020840,202508021856,LEMD,202508020853.0,2025-08-02 18:56:00,116.8915,40.696333,325.27,60.0,22.0,2.0
CCA902,B38M,423.0,202508021150,202508021355,202508021150,202508021333,ZMCK,202508021214.0,2025-08-02 13:46:00,116.980788,40.689904,360.0,61.0,19.0,2.0
CCA904,B738,5616.0,202508020610,202508021110,202508020610,202508021041,VVTS,202508020605.0,2025-08-02 10:15:00,115.828056,38.684444,539.0,57.0,24.0,3.0
CCA908,B789,,202508021910,202508030540,202508021910,202508030527,LEMD,202508021934.0,2025-08-03 05:33:00,116.502359,40.422295,360.26,61.0,16.0,2.0
CCA910,B77W,,202508020030,202508020740,202508020030,202508020725,UUEE,202508020044.0,2025-08-02 07:20:00,116.416794,40.423739,363.66,61.0,18.0,2.0
CCA912,A359,,202508020110,202508020945,202508020110,202508020852,ESSA,202508020114.0,2025-08-02 08:50:00,116.445778,40.423088,360.0,57.0,17.0,2.0
CCA918,B737,7375.0,202508021715,202508021930,202508021715,202508021907,ZBLA,202508021712.0,2025-08-02 18:50:00,117.01881,40.718898,360.0,60.0,21.0,2.0
CCA926,A333,,202508021415,202508021805,202508021415,202508021723,RJAA,202508021428.0,2025-08-02 17:14:00,117.979704,38.607769,539.0,61.0,27.0,4.0
CCA928,A333,,202508021300,202508021615,202508021300,202508021539,RJBB,202508021313.0,2025-08-02 15:24:00,118.010478,38.597336,539.0,61.0,27.0,4.0
CCA932,B77W,,202508020200,202508021120,202508020220,202508021130,EDDF,202508020252.0,2025-08-02 11:45:00,115.832247,40.429697,416.27,56.0,25.0,1.0
CCA934,B77W,,202508020220,202508021225,202508020220,202508021150,LFPG,202508020302.0,2025-08-02 12:18:00,116.397222,40.423889,360.0,60.0,24.0,2.0
CCA938,B77W,,202508020325,202508021315,202508020325,202508021254,EGLL,202508020401.0,2025-08-02 13:11:00,116.557457,40.486623,360.0,64.0,15.0,2.0
CCA940,B77W,,202508020255,202508021255,202508020255,202508021250,LIRF,202508020337.0,2025-08-02 13:25:00,117.02041,40.733001,360.0,61.0,27.0,2.0
CCA942,A359,531.0,202508020410,202508021140,202508020410,202508021319,OMDB,202508020416.0,2025-08-02 13:05:00,115.534973,40.279919,360.0,62.0,25.0,1.0
CCA950,A359,,202508021930,202508030550,202508021930,202508030430,LIMC,202508022028.0,2025-08-03 05:07:00,115.577796,40.411296,451.13,60.0,23.0,1.0
CCA954,B738,1245.0,202508021715,202508021900,202508021715,202508021822,ZYTL,202508021721.0,2025-08-02 17:54:00,117.980556,38.608056,509.0,60.0,23.0,4.0
CCA956,B38M,431.0,202508021630,202508021835,202508021630,202508021812,ZMCK,202508021634.0,2025-08-02 18:02:00,116.884458,40.738784,360.0,61.0,22.0,2.0
CCA958,B77W,,202508022220,202508030740,202508022220,202508030717,EDDF,202508022242.0,2025-08-03 07:22:00,116.405241,40.423944,360.0,61.0,17.0,2.0
CCA960,B38M,732.0,202508022035,202508030125,202508022120,202508030146,VTBS,202508022156.0,2025-08-03 02:06:00,115.868611,38.721944,509.0,60.0,33.0,0.0
CCA9604,B738,3172.0,202508021345,202508021730,202508021345,202508021656,ZGZJ,202508021341.0,2025-08-02 16:30:00,115.82025,38.673042,509.0,60.0,21.0,3.0
CCA9608,B737,3511.0,202508021130,202508021515,202508021130,202508021436,ZPDL,202508021129.0,2025-08-02 14:16:00,115.863056,38.716944,539.0,60.0,24.0,3.0
CCA9616,B737,6222.0,202508021445,202508021850,202508021715,202508022036,ZWKM,202508021710.0,2025-08-02 20:16:00,116.182009,40.400935,390.37,60.0,22.0,2.0
CCA962,B77W,,202508021900,202508030450,202508021900,202508030344,EDDM,202508021923.0,2025-08-03 03:57:00,116.457778,40.423056,319.0,60.0,18.0,2.0
CCA9624,B38M,2346.0,202508022040,202508030120,202508022040,202508030053,ZWSH,202508022113.0,2025-08-03 01:19:00,116.432778,40.423634,319.32,60.0,18.0,2.0
CCA966,B77W,,202508022015,202508030540,202508022015,202508030513,EDDF,202508022107.0,2025-08-03 05:42:00,116.38694,40.424194,360.0,63.0,18.0,2.0
CCA9680,B738,6227.0,202508022100,202508030110,202508022200,202508030141,ZWYN,202508022226.0,2025-08-03 01:54:00,116.388611,40.413889,312.0,56.0,9.0,2.0
CCA970,B789,2226.0,202508012325,202508020600,202508012325,202508020449,WSSS,202508020002.0,2025-08-02 05:16:00,115.828889,38.684167,539.0,60.0,21.0,3.0
CCA976,A333,115.0,202508020900,202508021455,202508020900,202508021442,WSSS,202508020911.0,2025-08-02 14:41:00,115.829035,38.69051,509.0,61.0,34.0,0.0
CCA978,A333,2305.0,202508020245,202508021010,202508020245,202508020930,WIII,202508020242.0,2025-08-02 09:11:00,115.892537,38.74413,539.0,60.0,19.0,3.0
CCA980,B38M,732.0,202508020230,202508020710,202508020230,202508020649,VTBS,202508020246.0,2025-08-02 06:51:00,115.825139,38.679426,509.0,60.0,22.0,3.0
CCA984,B77W,,202508021425,202508030530,202508021425,202508030341,KLAX,202508021449.0,2025-08-03 03:41:00,117.389153,38.639768,539.0,61.0,24.0,4.0
CCA998,B77W,,202508020355,202508021520,202508020355,202508021411,CYVR,202508020410.0,2025-08-02 14:18:00,116.953611,40.663611,349.0,60.0,23.0,2.0
CCD1232,B738,4007.0,202508021100,202508021325,202508021100,202508021250,ZLXY,202508021104.0,2025-08-02 12:28:00,115.573046,40.339262,359.72,61.0,24.0,1.0
CCD1312,B738,2455.0,202508021330,202508021705,202508021330,202508021626,ZGNN,202508021324.0,2025-08-02 16:06:00,115.824167,38.679722,526.0,56.0,30.0,0.0
CCD1390,B738,4567.0,202508021220,202508021500,202508021220,202508021416,ZGHA,202508021324.0,2025-08-02 15:01:00,115.850278,38.705,509.0,60.0,26.0,3.0
CCD1454,B738,7407.0,202508021055,202508021330,202508021055,202508021305,ZUMY,202508021059.0,2025-08-02 12:53:00,115.792709,38.659809,539.0,61.0,22.0,3.0
CCD1504,B738,5103.0,202508022250,202508030050,202508022250,202508030027,ZSNJ,202508022355.0,2025-08-03 01:05:00,116.468917,38.691384,539.0,60.0,24.0,0.0
CCD1536,B738,1331.0,202508022000,202508022230,202508022000,202508022205,ZSNB,202508021959.0,2025-08-02 21:37:00,116.41494,38.662406,539.0,56.0,26.0,0.0
CCD1552,B738,2767.0,202508022110,202508022330,202508022350,202508030142,ZSTX,202508022352.0,2025-08-03 01:21:00,116.404972,38.656736,509.0,60.0,44.0,0.0
CCD1816,B738,7007.0,202508022215,202508030115,202508022215,202508030047,ZSAM,202508022339.0,2025-08-03 01:43:00,116.393197,38.70056,539.0,61.0,32.0,0.0
CCD1828,B738,2751.0,202508022000,202508022240,202508022039,202508022302,ZSGZ,202508022330.0,2025-08-03 01:31:00,116.453051,38.680911,509.0,61.0,41.0,0.0
CCD1840,B738,3365.0,202508021210,202508021435,202508021210,202508021413,ZSNB,202508021249.0,2025-08-02 14:28:00,116.453707,38.682309,537.07,61.0,25.0,0.0
CCD1906,B738,3135.0,202508021255,202508021630,202508021255,202508021538,ZGSD,202508021432.0,2025-08-02 17:17:00,115.85581,38.710167,539.0,60.0,22.0,3.0
CCD1910,B738,636.0,202508021900,202508022230,202508021900,202508022205,ZGBH,202508021901.0,2025-08-02 21:46:00,115.961208,38.656097,539.05,60.0,22.0,3.0
CCD1952,B738,2475.0,202508021210,202508021510,202508021210,202508021452,ZGZH,202508021205.0,2025-08-02 14:26:00,115.857926,38.710278,509.0,60.0,21.0,3.0
CCD1972,B738,4250.0,202508021950,202508022230,202508021950,202508022148,ZGHA,202508021950.0,2025-08-02 21:29:00,115.874889,38.703185,539.0,60.0,21.0,3.0
CCD8901,B738,7355.0,202508021830,202508022000,202508021830,202508021938,ZYTL,202508021828.0,2025-08-02 19:01:00,117.912454,38.632028,539.0,60.0,29.0,4.0
CCD8903,B738,1256.0,202508020900,202508021020,202508020900,202508021006,ZYTL,202508020902.0,2025-08-02 09:35:00,117.960444,38.615583,539.0,60.0,33.0,4.0
CCD8905,B738,1260.0,202508021420,202508021545,202508021420,202508021527,ZYTL,202508021425.0,2025-08-02 14:59:00,117.951389,38.618333,539.0,60.0,35.0,4.0
CCD8907,B738,1270.0,202508021930,202508022100,202508021930,202508022037,ZYTL,202508021935.0,2025-08-02 20:09:00,117.943472,38.621472,509.0,60.0,31.0,4.0
CCD8909,B738,1272.0,202508021325,202508021455,202508021325,202508021432,ZYTL,202508021412.0,2025-08-02 14:47:00,117.930241,38.625833,539.0,60.0,31.0,4.0
CDC8887,A21N,1354.0,202508020715,202508020940,202508020715,202508020915,ZSHC,202508020733.0,2025-08-02 09:06:00,117.995542,38.603486,509.0,60.0,34.0,4.0
CDC8987,A21N,3614.0,202508021600,202508021830,202508021600,202508021752,ZSHC,202508021646.0,2025-08-02 18:12:00,116.467778,38.691111,509.0,60.0,26.0,0.0
CDG1156,B738,2433.0,202508021950,202508022300,202508022300,202508030157,ZGSD,202508022341.0,2025-08-03 02:16:00,115.881315,38.733778,509.0,60.0,33.0,0.0
CDG1158,B738,4220.0,202508021535,202508021900,202508021535,202508021830,ZGSD,202508021713.0,2025-08-02 19:45:00,115.854181,38.707264,509.0,60.0,25.0,3.0
CDG1160,B738,1175.0,202508021105,202508021425,202508021105,202508021359,ZGSD,202508021112.0,2025-08-02 13:39:00,115.907582,38.693966,509.0,61.0,31.0,0.0
CDG2121,B738,155.0,202508020835,202508021125,202508020835,202508021106,ZSAM,202508020830.0,2025-08-02 10:31:00,116.398333,38.656111,539.0,56.0,29.0,0.0
CDG2123,B38M,171.0,202508020930,202508021225,202508020930,202508021159,ZSAM,202508020945.0,2025-08-02 11:49:00,116.492942,38.702664,539.0,60.0,26.0,0.0
CDG2125,B738,156.0,202508021500,202508021800,202508021500,202508021732,ZSAM,202508021520.0,2025-08-02 17:27:00,116.453333,38.684167,539.0,60.0,25.0,0.0
CDG2127,B38M,154.0,202508021730,202508022030,202508021730,202508022000,ZSAM,202508021735.0,2025-08-02 19:54:00,116.400556,38.661944,539.0,56.0,31.0,0.0
CDG2129,B738,170.0,202508021930,202508022230,202508021930,202508022204,ZSAM,202508022013.0,2025-08-02 22:24:00,116.473731,38.659259,539.0,60.0,31.0,0.0
CDG2204,B738,753.0,202508021740,202508022035,202508021740,202508022009,ZSFZ,202508021745.0,2025-08-02 19:47:00,116.428333,38.671944,509.0,60.0,27.0,0.0
CDG2206,B738,2724.0,202508021855,202508022140,202508021855,202508022124,ZSFZ,202508021910.0,2025-08-02 21:16:00,116.453778,38.682639,509.0,60.0,28.0,0.0
CDG2208,B738,2712.0,202508021610,202508021915,202508021610,202508021839,ZSFZ,202508021630.0,2025-08-02 18:37:00,116.421667,38.668889,540.0,60.0,25.0,0.0
CDG2210,B738,751.0,202508021415,202508021730,202508021415,202508021644,ZSFZ,202508021421.0,2025-08-02 16:25:00,116.458199,38.686079,509.0,60.0,27.0,0.0
CDG2329,B738,2310.0,202508020740,202508021200,202508020740,202508021055,ZWWW,202508020750.0,2025-08-02 10:52:00,116.455833,40.423163,360.0,62.0,16.0,2.0
CDG4641,B738,107.0,202508020710,202508020845,202508020710,202508020821,ZSQD,202508020736.0,2025-08-02 08:22:00,116.496083,38.704611,539.0,60.0,22.0,0.0
CDG4651,B738,115.0,202508021800,202508021930,202508021800,202508021912,ZSQD,202508021821.0,2025-08-02 19:06:00,116.391329,38.64375,509.0,56.0,29.0,0.0
CDG7605,B738,122.0,202508021245,202508021400,202508021245,202508021343,ZSYT,202508021335.0,2025-08-02 14:05:00,117.922093,38.632273,539.0,60.0,27.0,4.0
CDG7607,B738,123.0,202508021945,202508022105,202508021945,202508022042,ZSYT,202508021946.0,2025-08-02 20:13:00,117.90937,38.633204,539.0,60.0,30.0,4.0
CDG7609,B738,120.0,202508022120,202508022235,202508022120,202508022218,ZSYT,202508022147.0,2025-08-02 22:15:00,118.001243,38.600811,509.0,61.0,50.0,4.0
